Timestamp,Sample,Compound,Mass conc (g/L),Molar conc (mol/L),Comment
01-02-2023 14:23,S1,NaCl,58.44,,given in g/L
2023/02/01 02:23PM,S2,C6H12O6,90,,needs conversion
Feb 1 2023 14:23,S3,C2H6O,0.046,,very low concentration
2023-02-01T14:23,S4,H2SO4,,0.05 mol/l,given already in mol/L
2023-02-01T14:23,S4,H₂SO₄,,0.05 mmol/l,given already in mol/L
2023-02-01T14:23,S4,H2SO4,,0.05mol/kl,given already in mol/L
2023-02-01T14:23,S4,H2SO4,,0.05mol/cl,given already in mol/L
2023-02-01T14:23,S4,H2SO4,,0.05cmol/l,given already in mol/L
01.02.23 14:23,S5,CaCl2,111,n/a,inconsistent unit
1 Feb 2023 14:23:00,S6,NaCl,2922,,comma as decimal sep
2023-02-01 14:23:45,S7,KOH,0.1 g/mL,,weird unit (g/mL)
2023-02-01 14:23:45,S7,KOH,0.1 kg/nL,0.05,weird unit
2023-02-01 14:23:45,S7,KOH,0.1 µg/mL,0.05,weird unit
2023-02-01 14:23:45,S7,KOH,0.05,,weird unit
2023-02-01 14:23:45,S7,KOH,0.1 JONAS ug/mL,0.05,weird unit
2023-02-01 14:23:45,S7,KOH,0.000.1 ug/mL,,weird unit
2023-02-01 14:23:45,S7,KOH,0.05,0.1 grafikkarte/mittellos,weird unit
2023-02-01 14:23:45,S7,KOH,0.1 grafikkarte/mittellos,,weird unit
2023-02-01 14:23:45,S7,KOH,a0.1 ug/mL,,weird unit
2023-02-01 14:23:45,S7,KOH,0.1 g/mLJONAS,0.1 g/mLJONAS,weird unit (g/mL)
2023-02-01 14:23:45,S7,KOH,"0.1 g/mLJONAS, du checka",,weird unit (g/mL)
2023-02-01 14:23:45,S7,KOH,"Jonas ist der einzig wahre ""Avokadoman"", das ist cool, oder?!!",,weird unit (g/mL)
2023-02-01T14:23,S8,H2SO4,"4,904g/L ",0.05 mol/l,
01-02-2023 14:23,S1,NaCl,58.44,1mol/L ,
Feb 1 2023 14:23,S3,C2H6O,0.046,"0,001mol/L ",
2023-02-01T14:23,S8,H2SO4,"4,904g/L ",0.06 mol/l,
01-02-2023 14:23,S1,NaCl,58.44,2mol/L ,
Feb 1 2023 14:23,S3,C2H6O,0.046,"0,0011mol/L ",
2023-02-01T14:23,S8,H2SO4,,,
2023-02-01T14:23,S8,H2SO4,4904,0.05,
Feb 1 2023 14:23,S3,C2H6O,0.046,"0,0011mol/L ",
01.02.23 14:23,S5,CaCl₂,111,n/a,inconsistent unit
